Starting DistilBERT training for AG News classification
Loading data...
Training data shape: (120000, 2)
Test data shape: (7600, 2)
Train samples: 96000, Val samples: 24000
Number of classes: 4
Class names: ['World', 'Sports', 'Business', 'Sci/Tech']
Creating datasets and tokenizing with distilbert-base-uncased...
System has 16 CPU cores, using 4 workers for data processing
Tokenizing datasets using 4 workers...
Map (num_proc=4): 100%|█████████████████████████████████| 96000/96000 [00:03<00:00, 30235.94 examples/s]
Map (num_proc=4): 100%|█████████████████████████████████| 24000/24000 [00:00<00:00, 28525.89 examples/s]
Tokenization complete!
Setting up model and training arguments...
System has 16 CPU cores, using 4 workers for data processing
Some weights of DistilBertForSequenceClassification were not initialized from the model checkpoint at distilbert-base-uncased and are newly initialized: ['classifier.bias', 'classifier.weight', 'pre_classifier.bias', 'pre_classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Using 4 workers for data loading during training
Starting training...
wandb: Currently logged in as: devmarkpro (devmarkpro-org) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.22.1
wandb: Run data is saved locally in /Users/mark/dev/cu-stuff/ag-news-classification/wandb/run-20251005_185207-yip1g1ip
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run swept-sun-4
wandb: View project at https://wandb.ai/devmarkpro-org/huggingface
wandb: View run at https://wandb.ai/devmarkpro-org/huggingface/runs/yip1g1ip
{'loss': 0.9033, 'grad_norm': 3.354193687438965, 'learning_rate': 1.9891111111111112e-05, 'epoch': 0.02}
{'loss': 0.4155, 'grad_norm': 5.573559284210205, 'learning_rate': 1.978e-05, 'epoch': 0.03}
{'loss': 0.323, 'grad_norm': 1.9223281145095825, 'learning_rate': 1.9668888888888892e-05, 'epoch': 0.05}
{'loss': 0.3076, 'grad_norm': 2.967933177947998, 'learning_rate': 1.955777777777778e-05, 'epoch': 0.07}
{'loss': 0.2834, 'grad_norm': 4.05333948135376, 'learning_rate': 1.9446666666666668e-05, 'epoch': 0.08}
{'loss': 0.2976, 'grad_norm': 2.8302714824676514, 'learning_rate': 1.9335555555555556e-05, 'epoch': 0.1}
{'loss': 0.2686, 'grad_norm': 3.4501795768737793, 'learning_rate': 1.9224444444444444e-05, 'epoch': 0.12}
{'loss': 0.2658, 'grad_norm': 11.144976615905762, 'learning_rate': 1.9113333333333336e-05, 'epoch': 0.13}
{'loss': 0.2638, 'grad_norm': 3.5347135066986084, 'learning_rate': 1.9002222222222224e-05, 'epoch': 0.15}
{'loss': 0.2657, 'grad_norm': 4.121323108673096, 'learning_rate': 1.8891111111111115e-05, 'epoch': 0.17}
{'loss': 0.2546, 'grad_norm': 3.9727559089660645, 'learning_rate': 1.878e-05, 'epoch': 0.18}
{'loss': 0.2374, 'grad_norm': 2.814540147781372, 'learning_rate': 1.866888888888889e-05, 'epoch': 0.2}
{'loss': 0.2272, 'grad_norm': 1.9881409406661987, 'learning_rate': 1.855777777777778e-05, 'epoch': 0.22}
{'loss': 0.249, 'grad_norm': 2.3516664505004883, 'learning_rate': 1.8446666666666667e-05, 'epoch': 0.23}
{'loss': 0.2747, 'grad_norm': 7.0578718185424805, 'learning_rate': 1.833555555555556e-05, 'epoch': 0.25}
{'loss': 0.2318, 'grad_norm': 6.799849987030029, 'learning_rate': 1.8224444444444447e-05, 'epoch': 0.27}
{'loss': 0.2628, 'grad_norm': 2.1417911052703857, 'learning_rate': 1.8113333333333335e-05, 'epoch': 0.28}
{'loss': 0.2576, 'grad_norm': 4.262216567993164, 'learning_rate': 1.8002222222222223e-05, 'epoch': 0.3}
